song_id,title,artist,source_genre,current_genre,suggested_genre,suggestion_reason,annotation_status,priority
RMVM_S_3337d81c24,Hai Lời Xin Lỗi,Lương Gia Huy,,UNASSIGNED_NULL,NULL,Ambiguous/missing raw tags; requires human audio verification.,needs_manual_annotation,STANDARD
RMVM_S_b10c17572c,Chỉ Vì Giận Nhau,Tâm Minhon,,UNASSIGNED_NULL,NULL,Ambiguous/missing raw tags; requires human audio verification.,needs_manual_annotation,STANDARD
RMVM_S_ab4dc2f9d5,Dấu Vết Mùa Đông,Đức Thịnh,,UNASSIGNED_NULL,NULL,Ambiguous/missing raw tags; requires human audio verification.,needs_manual_annotation,STANDARD
RMVM_S_15c7cc0cf4,Anh Có Muốn Yêu Lại Từ Đầu?,Thu Vũ,,UNASSIGNED_NULL,NULL,Ambiguous/missing raw tags; requires human audio verification.,needs_manual_annotation,STANDARD
RMVM_S_a4b75f422b,Vẫn Mãi Thế Hệ Tụi Mình,Phạm Toàn Thắng,,UNASSIGNED_NULL,NULL,Ambiguous/missing raw tags; requires human audio verification.,needs_manual_annotation,STANDARD
RMVM_S_85029bc483,Chờ Đợi Một Điều Gì,Việt My,,UNASSIGNED_NULL,NULL,Ambiguous/missing raw tags; requires human audio verification.,needs_manual_annotation,STANDARD
RMVM_S_1e91d2f25e,Anh Là Tất Cả,Duy Uyên,,UNASSIGNED_NULL,NULL,Ambiguous/missing raw tags; requires human audio verification.,needs_manual_annotation,STANDARD
RMVM_S_9365a4584c,Gửi Tình Cho Gió,Lâm Chí Khanh,,UNASSIGNED_NULL,NULL,Ambiguous/missing raw tags; requires human audio verification.,needs_manual_annotation,STANDARD
RMVM_S_a4c13bd9b0,Chưa Vơi Câu Hò,Đan Trường,,UNASSIGNED_NULL,NULL,Ambiguous/missing raw tags; requires human audio verification.,needs_manual_annotation,STANDARD
RMVM_S_12f895ae87,Có Khi Em Yêu Anh( Anh Đi Qua Tôi),Tinna Tình,,UNASSIGNED_NULL,NULL,Ambiguous/missing raw tags; requires human audio verification.,needs_manual_annotation,STANDARD
RMVM_S_2279a10fa6,Hạnh Phúc Chỉ Là Mơ,Tần Khánh,,UNASSIGNED_NULL,NULL,Ambiguous/missing raw tags; requires human audio verification.,needs_manual_annotation,STANDARD
RMVM_S_e968f6bd5f,Tiếng Hát Nào,Đình Văn,,UNASSIGNED_NULL,NULL,Ambiguous/missing raw tags; requires human audio verification.,needs_manual_annotation,STANDARD
RMVM_S_c0a42b4f39,Đời Đại Gia,Huyền Thoại,,UNASSIGNED_NULL,NULL,Ambiguous/missing raw tags; requires human audio verification.,needs_manual_annotation,STANDARD
RMVM_S_1e68168274,Ngõ Cụt,Thiên Vương,,UNASSIGNED_NULL,NULL,Ambiguous/missing raw tags; requires human audio verification.,needs_manual_annotation,STANDARD
RMVM_S_c2b9f4a983,Anh Muốn Nói Yêu Em,Lâm Chí Khanh,,UNASSIGNED_NULL,NULL,Ambiguous/missing raw tags; requires human audio verification.,needs_manual_annotation,STANDARD
RMVM_S_f2ff17a06d,Chuyện Tình Bên Chân Núi Đôi,Trịnh Việt Cường,,UNASSIGNED_NULL,NULL,Ambiguous/missing raw tags; requires human audio verification.,needs_manual_annotation,STANDARD
RMVM_S_6b21ecfcdb,Có Bao Giờ Yêu,Nghĩa Nguyễn,,UNASSIGNED_NULL,NULL,Ambiguous/missing raw tags; requires human audio verification.,needs_manual_annotation,STANDARD
RMVM_S_dbcde6ae46,Nếu Việt Nam Có Tuyết Rơi,Võ Mậu Tân,,UNASSIGNED_NULL,NULL,Ambiguous/missing raw tags; requires human audio verification.,needs_manual_annotation,STANDARD
RMVM_S_10a2eac81d,Di Lạc Chơn Kinh,Đồng Nhi Cao Đài,,UNASSIGNED_NULL,NULL,Ambiguous/missing raw tags; requires human audio verification.,needs_manual_annotation,STANDARD
RMVM_S_73ec626a38,Hóa Đá Một Trái Tim,Huỳnh Nhã Lâm,,UNASSIGNED_NULL,NULL,Ambiguous/missing raw tags; requires human audio verification.,needs_manual_annotation,STANDARD
RMVM_S_3619f6e4a3,Hà Nội Yêu,Trang,,UNASSIGNED_NULL,NULL,Ambiguous/missing raw tags; requires human audio verification.,needs_manual_annotation,STANDARD
RMVM_S_a910e1e059,Bài Ca Trên Núi,Cao Minh,,UNASSIGNED_NULL,NULL,Ambiguous/missing raw tags; requires human audio verification.,needs_manual_annotation,STANDARD
RMVM_S_d0df4241c7,Chỉ Có Em Không Biết,Minh Thuận,,UNASSIGNED_NULL,NULL,Ambiguous/missing raw tags; requires human audio verification.,needs_manual_annotation,STANDARD
RMVM_S_38be0da904,Sao Anh Không Về Bên Em,Phương Thanh,,UNASSIGNED_NULL,NULL,Ambiguous/missing raw tags; requires human audio verification.,needs_manual_annotation,STANDARD
RMVM_S_a40d72d036,Một Thoáng Cao Nguyên,Y Jang Tuyn,,UNASSIGNED_NULL,NULL,Ambiguous/missing raw tags; requires human audio verification.,needs_manual_annotation,STANDARD
RMVM_S_ee59a28211,Có Bao Giờ Anh Tiếc Nhớ,Châu Ngọc Linh,,UNASSIGNED_NULL,NULL,Ambiguous/missing raw tags; requires human audio verification.,needs_manual_annotation,STANDARD
RMVM_S_9cfd87f47d,Khi Tình Yêu Ra Đi Beat,"Ken Nguyễn, Hồ Quang Hiếu",,UNASSIGNED_NULL,NULL,Ambiguous/missing raw tags; requires human audio verification.,needs_manual_annotation,STANDARD
RMVM_S_63455abfe2,Tin Vào Một Lời Hứa,Bảo Thy,,UNASSIGNED_NULL,NULL,Ambiguous/missing raw tags; requires human audio verification.,needs_manual_annotation,STANDARD
RMVM_S_db9cf2895a,Giờ Mới Biết,Tim,,UNASSIGNED_NULL,NULL,Ambiguous/missing raw tags; requires human audio verification.,needs_manual_annotation,STANDARD
RMVM_S_ac1b7043b4,Đêm Hội Hoa Hồng,"Dương Quốc Hưng, Hồ Quỳnh Hương",,UNASSIGNED_NULL,NULL,Ambiguous/missing raw tags; requires human audio verification.,needs_manual_annotation,STANDARD
RMVM_S_932548a234,Nonstop Lệ Cay Bay Mất Xác,Du Thiên,,UNASSIGNED_NULL,NULL,Ambiguous/missing raw tags; requires human audio verification.,needs_manual_annotation,STANDARD
RMVM_S_4626394775,Tình Là Giấc Mơ,Khánh Hà,,UNASSIGNED_NULL,NULL,Ambiguous/missing raw tags; requires human audio verification.,needs_manual_annotation,STANDARD
RMVM_S_459f9b854b,Nghêu Ngao,Duy Khoa,,UNASSIGNED_NULL,NULL,Ambiguous/missing raw tags; requires human audio verification.,needs_manual_annotation,STANDARD
RMVM_S_ee6772ab12,Gửi Người Em Gái,Hứa Vĩ Văn,,UNASSIGNED_NULL,NULL,Ambiguous/missing raw tags; requires human audio verification.,needs_manual_annotation,STANDARD
RMVM_S_b1f72dbbaa,Tình Dang Dở,Hàn Thái Tú,,UNASSIGNED_NULL,NULL,Ambiguous/missing raw tags; requires human audio verification.,needs_manual_annotation,STANDARD
RMVM_S_f5442cdfd6,Liên Khúc Bay Đi Cánh Chim Biển - Hẹn Hò - Tình Khúc Buồn - Dạ Khúc Cho Tình Nhân,Nhiều nghệ sĩ,,UNASSIGNED_NULL,NULL,Ambiguous/missing raw tags; requires human audio verification.,needs_manual_annotation,STANDARD
RMVM_S_5596a1678a,Bên Em Thành Phố Biển,Huỳnh Lợi,,UNASSIGNED_NULL,NULL,Ambiguous/missing raw tags; requires human audio verification.,needs_manual_annotation,STANDARD
RMVM_S_a3d642ce43,Con Nhớ Mẹ,Bảo Thy,,UNASSIGNED_NULL,NULL,Ambiguous/missing raw tags; requires human audio verification.,needs_manual_annotation,STANDARD
RMVM_S_8be04251a7,Hát Câu Tình Yêu,Kim Tiểu Phương,,UNASSIGNED_NULL,NULL,Ambiguous/missing raw tags; requires human audio verification.,needs_manual_annotation,STANDARD
RMVM_S_5e3fe030d8,Tiếng Hát Chim Đa Đa,Phương Thanh,,UNASSIGNED_NULL,NULL,Ambiguous/missing raw tags; requires human audio verification.,needs_manual_annotation,STANDARD
RMVM_S_c2edd6e5c0,Về Với Anh,Lê Hiếu,,UNASSIGNED_NULL,NULL,Ambiguous/missing raw tags; requires human audio verification.,needs_manual_annotation,STANDARD
RMVM_S_6587d4ca9e,Tình Xót Xa,Phong Đạt,,UNASSIGNED_NULL,NULL,Ambiguous/missing raw tags; requires human audio verification.,needs_manual_annotation,STANDARD
RMVM_S_9b1db6dbd3,Yêu Bằng Cảm Giác,Lâm Quốc Hưng,,UNASSIGNED_NULL,NULL,Ambiguous/missing raw tags; requires human audio verification.,needs_manual_annotation,STANDARD
RMVM_S_e3f7105587,Người Mẹ Và Hoa Sứ Trắng,Lê Tuấn,,UNASSIGNED_NULL,NULL,Ambiguous/missing raw tags; requires human audio verification.,needs_manual_annotation,STANDARD
RMVM_S_7f07f107f0,Twist Tình Yêu,Điền Thái Toàn,,UNASSIGNED_NULL,NULL,Ambiguous/missing raw tags; requires human audio verification.,needs_manual_annotation,STANDARD
RMVM_S_4e525f0850,Tình Đầu Phôi Pha,Cao Thái Sơn,,UNASSIGNED_NULL,NULL,Ambiguous/missing raw tags; requires human audio verification.,needs_manual_annotation,STANDARD
RMVM_S_3660c3d973,Dòng Điện Yêu Thương,Ngọc Sáng,,UNASSIGNED_NULL,NULL,Ambiguous/missing raw tags; requires human audio verification.,needs_manual_annotation,STANDARD
RMVM_S_861397b19f,Hãy Hứa Chờ Anh Em Nhé,Ưng Đại Vệ,,UNASSIGNED_NULL,NULL,Ambiguous/missing raw tags; requires human audio verification.,needs_manual_annotation,STANDARD
RMVM_S_3f6fcfeec7,Chuyện Gì Đến Sẽ Đến,FM,,UNASSIGNED_NULL,NULL,Ambiguous/missing raw tags; requires human audio verification.,needs_manual_annotation,STANDARD
RMVM_S_edbf1ace88,Làng Tôi,AC&M,,UNASSIGNED_NULL,NULL,Ambiguous/missing raw tags; requires human audio verification.,needs_manual_annotation,STANDARD
RMVM_S_dcdd159eb4,Cần Một Khoảng Trống,"Châu Ngọc Hiếu, Tynz",,UNASSIGNED_NULL,NULL,Ambiguous/missing raw tags; requires human audio verification.,needs_manual_annotation,STANDARD
RMVM_S_9cb30f9bd1,Chàng Trai Xấu,Tần Khánh,,UNASSIGNED_NULL,NULL,Ambiguous/missing raw tags; requires human audio verification.,needs_manual_annotation,STANDARD
RMVM_S_8beeaec6c9,Đời Mẹ,Hiền Thục,,UNASSIGNED_NULL,NULL,Ambiguous/missing raw tags; requires human audio verification.,needs_manual_annotation,STANDARD
RMVM_S_9f636cfdf7,Giấc Mơ Ban Đầu,Lê Nhật Du Phương,,UNASSIGNED_NULL,NULL,Ambiguous/missing raw tags; requires human audio verification.,needs_manual_annotation,STANDARD
RMVM_S_109e5ab0a3,Điệp Khúc Tuổi Thơ,Đan Trường,,UNASSIGNED_NULL,NULL,Ambiguous/missing raw tags; requires human audio verification.,needs_manual_annotation,STANDARD
RMVM_S_707f4d02cf,Lính Nhà Giàn Đón Xuân,4Tenors,,UNASSIGNED_NULL,NULL,Ambiguous/missing raw tags; requires human audio verification.,needs_manual_annotation,STANDARD
RMVM_S_cda6d6fa66,Phôi Pha Tình Đầu,Khang Việt,,UNASSIGNED_NULL,NULL,Ambiguous/missing raw tags; requires human audio verification.,needs_manual_annotation,STANDARD
RMVM_S_737807aef2,Đánh Thức Tình Yêu,Kim Tiểu Phương,,UNASSIGNED_NULL,NULL,Ambiguous/missing raw tags; requires human audio verification.,needs_manual_annotation,STANDARD
RMVM_S_6c67313a87,Chia Tay Bất Ngờ,Quỳnh Nga,,UNASSIGNED_NULL,NULL,Ambiguous/missing raw tags; requires human audio verification.,needs_manual_annotation,STANDARD
RMVM_S_3e8562e1f4,Tại Vì Em Nhớ Anh,Thanh Trúc,,UNASSIGNED_NULL,NULL,Ambiguous/missing raw tags; requires human audio verification.,needs_manual_annotation,STANDARD
RMVM_S_b8ef5bfde9,Người Nhớ Người Quên,Đồng Thanh Tâm,,UNASSIGNED_NULL,NULL,Ambiguous/missing raw tags; requires human audio verification.,needs_manual_annotation,STANDARD
RMVM_S_daca8c9542,Lặng Lẽ Ký Ức,Huyền My,,UNASSIGNED_NULL,NULL,Ambiguous/missing raw tags; requires human audio verification.,needs_manual_annotation,STANDARD
